ID,name,deadline,type,data_size_GB,RAM_requirement_GB,working_units
T0,Camila,2022-05-15 00:00:00,GPU,140,8,1175
T1,Alen,2022-05-27 03:00:00,CPU,80,8,380
T2,Sophia,2022-05-22 03:00:00,CPU,95,8,1070
T3,Chloe,2022-05-25 09:00:00,CPU,120,32,340
T4,Ryan,2022-05-30 03:00:00,CPU,120,32,875
T5,Sienna,2022-05-28 00:00:00,GPU,65,64,455
T6,Isabella,2022-05-19 18:00:00,CPU,115,8,1000
T7,Julia,2022-05-21 11:00:00,GPU,150,64,1175
T8,Madaline,2022-05-23 12:00:00,GPU,95,8,280
T9,Amber,2022-05-21 12:00:00,CPU,75,8,1035
T10,Walter,2022-05-15 11:00:00,GPU,110,64,1085
T11,Derek,2022-05-15 13:00:00,GPU,95,16,265
T12,James,2022-05-19 11:00:00,GPU,65,128,450
T13,Rosie,2022-05-17 12:00:00,GPU,145,8,475
T14,Rafael,2022-05-30 20:00:00,CPU,150,8,455
T15,Michael,2022-05-19 15:00:00,CPU,95,128,385
T16,Sophia,2022-05-25 22:00:00,CPU,130,16,485
T17,Sophia,2022-05-25 14:00:00,CPU,115,16,885
T18,Marcus,2022-05-30 15:00:00,GPU,135,64,880
T19,Edwin,2022-05-23 22:00:00,GPU,95,8,1130
T20,Fenton,2022-05-18 01:00:00,GPU,65,8,420
T21,Thomas,2022-05-16 15:00:00,CPU,120,128,1055
T22,Tyler,2022-05-25 03:00:00,GPU,150,32,1110
T23,Hailey,2022-05-22 10:00:00,CPU,75,128,460
T24,Audrey,2022-05-23 00:00:00,CPU,70,64,300
T25,Kellan,2022-05-26 00:00:00,GPU,75,64,1175
T26,David,2022-05-25 06:00:00,CPU,105,16,1005
T27,Lucas,2022-05-31 17:00:00,GPU,140,16,975
T28,Nicholas,2022-05-31 03:00:00,GPU,150,32,1040
T29,Walter,2022-05-26 21:00:00,GPU,120,64,690
T30,Alan,2022-05-17 20:00:00,GPU,100,64,1115
T31,Samantha,2022-05-23 15:00:00,GPU,100,128,870
T32,Camila,2022-05-22 03:00:00,GPU,130,8,525
T33,Mary,2022-05-28 21:00:00,CPU,120,128,740
T34,Byron,2022-05-19 04:00:00,CPU,65,64,370
T35,David,2022-05-29 08:00:00,GPU,130,64,840
T36,Lenny,2022-05-17 15:00:00,GPU,140,32,1100
T37,Vivian,2022-05-20 15:00:00,GPU,65,16,990
T38,Amelia,2022-05-30 12:00:00,CPU,105,8,645
T39,Agata,2022-05-23 14:00:00,CPU,110,16,470
T40,Kellan,2022-05-23 19:00:00,CPU,110,32,1115
T41,Jordan,2022-05-27 17:00:00,CPU,130,128,645
T42,Camila,2022-05-15 08:00:00,GPU,50,8,340
T43,Michael,2022-05-16 05:00:00,GPU,115,64,815
T44,Julia,2022-05-17 17:00:00,GPU,130,64,660
T45,Tyler,2022-05-22 16:00:00,CPU,65,64,1145
T46,Julian,2022-05-22 15:00:00,CPU,55,64,1155
T47,Sam,2022-05-18 22:00:00,GPU,50,128,670
T48,Rafael,2022-05-26 01:00:00,GPU,65,32,455
